idx,enterprise,serial_number,model number,last_contact,months in SVC,balance of the 36 months,url
0,Tenet Practice Resources (TPR)|85389|,VC05200024523,edge520,2017-08-15T19:53:03.000Z,23,13,https://mettel.velocloud.net/#!/operator/customer/38/monitor/edge/856/
1,Tenet Practice Resources (TPR)|85389|,VC05200016659,edge520,2018-05-03T18:34:03.000Z,14,22,https://mettel.velocloud.net/#!/operator/customer/38/monitor/edge/897/
2,Tenet Practice Resources (TPR)|85389|,VC05200025935,edge520,2018-05-11T21:35:42.000Z,14,22,https://mettel.velocloud.net/#!/operator/customer/38/monitor/edge/915/
3,Tenet Practice Resources (TPR)|85389|,VC05200025815,edge520,2019-06-28T15:01:21.000Z,1,35,https://mettel.velocloud.net/#!/operator/customer/38/monitor/edge/964/
4,Tenet Practice Resources (TPR)|85389|,VC05200024881,edge520,2018-04-06T14:52:12.000Z,15,21,https://mettel.velocloud.net/#!/operator/customer/38/monitor/edge/965/
5,Tenet Practice Resources (TPR)|85389|,VC05200026488,edge520,2017-09-21T16:52:09.000Z,22,14,https://mettel.velocloud.net/#!/operator/customer/38/monitor/edge/1003/
